class_idx	class_name	global_label
11	cougar	87
13	porcupine	228
15	malamute	118
20	whippet	92
30	jaguar	156
34	hyena	126
35	meerkat	24
41	dalmatian	153
51	malinois	41
52	bighorn	209
54	colobus	234
74	mongoose	231
76	tiger	139
80	zebra	66
81	ram	136
83	orangutan	145
84	basenji	115
85	leopard	212
90	vizsla	64
91	cairn	149
96	chimpanzee	226
104	gorilla	208
105	borzoi	247
122	siamang	97
124	collie	84
130	boxer	240
132	beagle	235
137	baboon	144
138	macaque	65
143	pug	169
157	hamster	183
165	bison	2
167	hippopotamus	81
168	chow	185
174	tabby	73
175	marmoset	44
183	marmot	138
186	llama	1
190	lion	112
201	lynx	151
203	langur	221
206	cheetah	124
212	otter	7
213	koala	187
214	tusker	142
215	echidna	19
216	wallaby	22
220	umbrella	54
223	accordion	21
224	ant	137
225	starfish	163
228	laptop	82
229	strawberry	133
230	airliner	28
236	gondola	74
238	lifeboat	210
244	liner	71
248	wreck	194
258	barrow	162
261	forklift	76
267	cab	206
268	convertible	125
269	jeep	205
273	racer	197
277	moped	119
281	pickup	177
287	streetcar	48
289	tractor	155
291	tricycle	249
292	unicycle	193
313	desk	46
319	orange	96
320	lemon	171
321	fig	9
322	pineapple	220
323	banana	215
324	jackfruit	131
326	pomegranate	207
328	hip	35
330	rapeseed	114
331	corn	18
336	drum	180
339	marimba	196
342	cello	38
344	harp	158
355	sax	50
357	daisy	99
359	cliff	246
360	valley	141
362	volcano	248
363	promontory	188
364	sandbar	89
366	lakeside	91
367	seashore	63
368	geyser	229
383	cock	61
384	hen	31
385	ostrich	23
387	goldfinch	95
389	junco	51
391	robin	233
392	bulbul	132
393	jay	12
394	magpie	222
395	chickadee	8
399	vulture	167
402	ptarmigan	170
405	peacock	201
406	quail	78
409	macaw	120
411	lorikeet	58
414	hornbill	217
415	hummingbird	160
417	toucan	203
418	drake	101
420	goose	127
424	spoonbill	122
425	flamingo	59
428	bittern	216
429	crane	166
432	bustard	213
435	redshank	53
437	oystercatcher	111
439	pelican	109
441	albatross	102
446	stingray	173
451	eel	152
454	lionfish	68
474	triceratops	146
499	bullfrog	86
503	wing	32
509	microphone	47
520	odometer	110
526	sundial	69
531	syringe	179
535	sunglasses	60
539	cannon	238
545	crane	174
547	abacus	80
557	slot	36
568	carousel	178
584	padlock	94
587	screw	243
590	ski	195
591	candle	130
596	pier	218
598	maypole	182
601	trilobite	232
603	scorpion	6
608	tarantula	184
611	centipede	242
619	crayfish	134
622	ladybug	244
628	weevil	116
629	fly	93
630	bee	204
631	grasshopper	37
632	cricket	75
634	cockroach	34
635	mantis	190
636	cicada	189
637	leafhopper	154
638	lacewing	4
639	dragonfly	135
640	damselfly	72
641	admiral	219
643	monarch	157
646	lycaenid	202
647	jellyfish	98
652	conch	117
653	snail	223
654	slug	10
661	microwave	199
664	toaster	175
667	dishwasher	237
675	teapot	230
682	viaduct	143
683	barn	100
684	greenhouse	77
690	church	168
692	stupa	113
695	cinema	107
698	coil	17
699	obelisk	27
701	castle	129
704	bakery	79
705	barbershop	90
706	bookshop	181
712	fountain	128
714	yurt	200
715	dock	161
716	brass	176
717	megalith	239
718	bannister	105
719	breakwater	224
720	dam	159
725	grille	198
730	honeycomb	13
733	beacon	5
737	broccoli	45
738	cauliflower	20
743	cucumber	14
746	mushroom	85
748	jean	164
750	handkerchief	241
752	ashcan	0
754	plate	3
755	necklace	83
770	kimono	29
775	spindle	26
793	trifle	104
803	menu	103
804	stage	123
805	bonnet	39
813	guacamole	236
814	lampshade	30
816	hay	88
821	dishrag	56
836	cardigan	214
839	birdhouse	57
845	apron	70
848	groom	150
854	mortarboard	43
856	crutch	33
864	dough	191
871	mitten	62
882	trolleybus	11
885	hotdog	25
888	pillow	192
892	ladle	172
897	dome	67
900	burrito	55
913	agaric	106
916	barbell	42
917	mailbox	121
922	maze	211
925	sombrero	49
941	bib	165
947	espresso	16
948	pizza	245
954	ballplayer	147
975	pretzel	148
981	bolete	140
983	pitcher	186
986	sock	15
989	thatch	40
990	vault	227
992	bubble	52
993	cheeseburger	225
995	flagpole	108
